Data from WELLPATH_ORIGINAL_SURVEY_POINTS_1.ASC has been resampled to 0.2 meters and linearly interpolated between original survey points. Computed 09-NOV-2010

HEADER INFORMATION	
----------------------------------------------------------------	
COMPANY:	Det norske oljeselskap ASA
FIELD:	Exploration - UTM Zone 31
WELL NAME:	15/9-24 Storkinn
WELLBORE NAME:	15/9-24 Storkinn
Drilled From	: Well Ref. Point
KICK OFF DEPTH:	105.50 m
SURVEYNAME:	15/9-24 Storkinn
SURVEYDATE:	24-06-2010
PRINTED DATE:	24-06-2010
----------------------------------------------------------------	
CALCULATION METHOD:	Minimum Curvature
DATUM NAME:	Bredford Dolphin
LAT REFERENCE:	Site
----------------------------------------------------------------	
SLOT EW MAP:	440297.10m
SLOT NS MAP:	6459849.30m
SURFACE LATITUDE MAP:	58° 16' 27.524 N
SURFACE LONGITUDE  MAP:	1° 58' 55.873 E
BOTTOM HOLE MD:	2400.00 m
BOTTOM HOLE TVD:	2399.75 m
BOTTOM HOLE EW MAP:	440297.64m
BOTTOM HOLE NS MAP:	6459853.66m
----------------------------------------------------------------	
WATER DEPTH:	80.50 m
KB-MSL:	25.00 m
SYSTEM DATUM:	Mean Sea Level
----------------------------------------------------------------	
MAP-ZONE:	Zone 31N (0 E to 6 E)
NORTH REFERENCE:	Grid
GEO DATUM:	European 1950 - Mean
VSDIR:	0
----------------------------------------------------------------	
SURVEY TYPE INFORMATION
H  107.00 - 149.20 15/9-24; 36" MWD+SC+SAG : MWD+SC+SAG
H  182.90 - 620.69 15/9-24; 26'' MWD+SC+SAG : MWD+SC+SAG
H  638.70 - 1480.40 15/9-24; 17 1/2'' MWD+SC+SAG : MWD+SC+SAG
H  1508.30 - 2387.90 15/9-24; 8 1/2'' MWD+SC+SAG : MWD+SC+SAG
H  2400.00 - 2400.00 15/9-24; EXTRAPOLATION TO TD : BLIND

----------------------------------------------------------------	
SURVEY LIST	
                MD               Inc               AZI          TVD(RKB)             TVDSS       	X(m)              y(m)                NS                EW               DLS              Vsec
            129.40              0.75            205.21            129.40            104.40         440296.97        6459849.12             -0.18             -0.13              0.36             -0.18
            129.60              0.75            205.26            129.60            104.60         440296.97        6459849.12             -0.18             -0.13              0.32             -0.18
            129.80              0.75            205.31            129.80            104.80         440296.97        6459849.11             -0.19             -0.13              0.28             -0.19
            130.00              0.75            205.36            130.00            105.00         440296.97        6459849.11             -0.19             -0.13              0.24             -0.19
            130.20              0.75            205.41            130.20            105.20         440296.97        6459849.11             -0.19             -0.13              0.20             -0.19
            130.40              0.75            205.42            130.40            105.40         440296.97        6459849.11             -0.19             -0.13              0.21             -0.19
            130.60              0.76            205.42            130.60            105.60         440296.97        6459849.11             -0.19             -0.13              0.22             -0.19
            130.80              0.76            205.43            130.79            105.79         440296.97        6459849.10             -0.20             -0.13              0.22             -0.20
            131.00              0.76            205.43            130.99            105.99         440296.97        6459849.10             -0.20             -0.13              0.23             -0.20
            131.20              0.77            205.44            131.19            106.19         440296.96        6459849.10             -0.20             -0.14              0.24             -0.20
            131.40              0.77            205.44            131.39            106.39         440296.96        6459849.10             -0.20             -0.14              0.25             -0.20
            131.60              0.77            205.45            131.58            106.58         440296.96        6459849.09             -0.21             -0.14              0.25             -0.21
            131.80              0.78            205.45            131.78            106.78         440296.96        6459849.09             -0.21             -0.14              0.26             -0.21
            132.00              0.78            205.46            131.98            106.98         440296.96        6459849.09             -0.21             -0.14              0.27             -0.21
            132.20              0.78            205.46            132.18            107.18         440296.96        6459849.09             -0.21             -0.14              0.28             -0.21
            132.40              0.79            205.47            132.37            107.37         440296.96        6459849.08             -0.22             -0.14              0.29             -0.22
            132.60              0.79            205.47            132.57            107.57         440296.96        6459849.08             -0.22             -0.14              0.29             -0.22
            132.80              0.79            205.48            132.77            107.77         440296.95        6459849.08             -0.22             -0.15              0.30             -0.22
            133.00              0.80            205.49            132.97            107.97         440296.95        6459849.08             -0.22             -0.15              0.31             -0.22
            133.20              0.80            205.49            133.16            108.16         440296.95        6459849.07             -0.23             -0.15              0.32             -0.23
            133.40              0.80            205.50            133.36            108.36         440296.95        6459849.07             -0.23             -0.15              0.32             -0.23
            133.60              0.81            205.50            133.56            108.56         440296.95        6459849.07             -0.23             -0.15              0.33             -0.23
            133.80              0.81            205.51            133.76            108.76         440296.95        6459849.07             -0.23             -0.15              0.34             -0.23
            134.00              0.81            205.51            133.95            108.95         440296.95        6459849.06             -0.24             -0.15              0.35             -0.24
            134.20              0.82            205.52            134.15            109.15         440296.95        6459849.06             -0.24             -0.15              0.36             -0.24
            134.40              0.82            205.52            134.35            109.35         440296.94        6459849.06             -0.24             -0.16              0.36             -0.24
            134.60              0.83            205.53            134.55            109.55         440296.94        6459849.06             -0.24             -0.16              0.37             -0.24
            134.80              0.83            205.53            134.74            109.74         440296.94        6459849.05             -0.25             -0.16              0.38             -0.25
            135.00              0.83            205.54            134.94            109.94         440296.94        6459849.05             -0.25             -0.16              0.39             -0.25
            135.20              0.84            205.54            135.14            110.14         440296.94        6459849.05             -0.25             -0.16              0.40             -0.25
            135.40              0.84            205.55            135.34            110.34         440296.94        6459849.05             -0.25             -0.16              0.40             -0.25
            135.60              0.84            205.55            135.53            110.53         440296.94        6459849.04             -0.26             -0.16              0.41             -0.26
            135.80              0.85            205.56            135.73            110.73         440296.94        6459849.04             -0.26             -0.16              0.42             -0.26
            136.00              0.85            205.57            135.93            110.93         440296.93        6459849.04             -0.26             -0.17              0.43             -0.26
            136.20              0.85            205.57            136.13            111.13         440296.93        6459849.04             -0.26             -0.17              0.43             -0.26
            136.40              0.86            205.58            136.32            111.32         440296.93        6459849.03             -0.27             -0.17              0.44             -0.27
            136.60              0.86            205.58            136.52            111.52         440296.93        6459849.03             -0.27             -0.17              0.45             -0.27
            136.80              0.86            205.59            136.72            111.72         440296.93        6459849.03             -0.27             -0.17              0.46             -0.27
            137.00              0.87            205.59            136.92            111.92         440296.93        6459849.03             -0.27             -0.17              0.47             -0.27
            137.20              0.87            205.60            137.11            112.11         440296.93        6459849.02             -0.28             -0.17              0.47             -0.28
            137.40              0.87            205.60            137.31            112.31         440296.93        6459849.02             -0.28             -0.17              0.48             -0.28
            137.60              0.88            205.61            137.51            112.51         440296.92        6459849.02             -0.28             -0.18              0.49             -0.28
            137.80              0.88            205.61            137.71            112.71         440296.92        6459849.02             -0.28             -0.18              0.50             -0.28
            138.00              0.88            205.62            137.90            112.90         440296.92        6459849.01             -0.29             -0.18              0.50             -0.29
            138.20              0.89            205.62            138.10            113.10         440296.92        6459849.01             -0.29             -0.18              0.51             -0.29
            138.40              0.89            205.63            138.30            113.30         440296.92        6459849.01             -0.29             -0.18              0.52             -0.29
            138.60              0.89            206.46            138.50            113.50         440296.92        6459849.01             -0.29             -0.18              0.58             -0.29
            138.80              0.89            207.28            138.71            113.71         440296.92        6459849.00             -0.30             -0.18              0.63             -0.30
            139.00              0.89            208.11            138.91            113.91         440296.92        6459849.00             -0.30             -0.18              0.69             -0.30
            139.20              0.89            208.93            139.12            114.12         440296.91        6459849.00             -0.30             -0.19              0.74             -0.30
            139.40              0.90            209.76            139.32            114.32         440296.91        6459849.00             -0.30             -0.19              0.80             -0.30
            139.60              0.90            210.58            139.52            114.52         440296.91        6459848.99             -0.31             -0.19              0.85             -0.31
            139.80              0.90            211.41            139.73            114.73         440296.91        6459848.99             -0.31             -0.19              0.91             -0.31
            140.00              0.90            212.23            139.93            114.93         440296.91        6459848.99             -0.31             -0.19              0.96             -0.31
            140.20              0.90            213.06            140.14            115.14         440296.91        6459848.98             -0.32             -0.19              1.02             -0.32
            140.40              0.90            213.88            140.34            115.34         440296.90        6459848.98             -0.32             -0.20              1.08             -0.32
            140.60              0.90            214.71            140.54            115.54         440296.90        6459848.98             -0.32             -0.20              1.13             -0.32
            140.80              0.90            215.53            140.75            115.75         440296.90        6459848.98             -0.32             -0.20              1.19             -0.32
            141.00              0.91            216.36            140.95            115.95         440296.90        6459848.97             -0.33             -0.20              1.24             -0.33
            141.20              0.91            217.18            141.16            116.16         440296.90        6459848.97             -0.33             -0.20              1.30             -0.33
            141.40              0.91            218.01            141.36            116.36         440296.90        6459848.97             -0.33             -0.20              1.35             -0.33
            141.60              0.91            218.83            141.56            116.56         440296.89        6459848.97             -0.33             -0.21              1.41             -0.33
            141.80              0.91            219.66            141.77            116.77         440296.89        6459848.96             -0.34             -0.21              1.47             -0.34
            142.00              0.91            220.48            141.97            116.97         440296.89        6459848.96             -0.34             -0.21              1.52             -0.34
            142.20              0.91            221.31            142.18            117.18         440296.89        6459848.96             -0.34             -0.21              1.58             -0.34
            142.40              0.91            222.13            142.38            117.38         440296.89        6459848.95             -0.35             -0.21              1.63             -0.35
            142.60              0.92            222.96            142.58            117.58         440296.89        6459848.95             -0.35             -0.21              1.69             -0.35
            142.80              0.92            223.78            142.79            117.79         440296.88        6459848.95             -0.35             -0.22              1.74             -0.35
            143.00              0.92            224.61            142.99            117.99         440296.88        6459848.95             -0.35             -0.22              1.80             -0.35
            143.20              0.92            225.43            143.20            118.20         440296.88        6459848.94             -0.36             -0.22              1.85             -0.36
            143.40              0.92            226.26            143.40            118.40         440296.88        6459848.94             -0.36             -0.22              1.91             -0.36
            143.60              0.91            227.06            143.60            118.60         440296.88        6459848.94             -0.36             -0.22              1.92             -0.36
            143.80              0.90            227.86            143.80            118.80         440296.88        6459848.94             -0.36             -0.22              1.93             -0.36
            144.00              0.89            228.66            144.00            119.00         440296.87        6459848.94             -0.36             -0.23              1.94             -0.36
            144.20              0.88            229.45            144.20            119.20         440296.87        6459848.93             -0.37             -0.23              1.95             -0.37
            144.40              0.87            230.25            144.40            119.40         440296.87        6459848.93             -0.37             -0.23              1.96             -0.37
