HEADER INFORMATION	
----------------------------------------------------------------	
COMPANY:	Det norske oljeselskap ASA
FIELD:	Exploration - UTM Zone 31
WELL NAME:	15/9-24 Storkinn
WELLBORE NAME:	15/9-24 Storkinn
Drilled From	: Well Ref. Point
KICK OFF DEPTH:	105.50 m
SURVEYNAME:	15/9-24 Storkinn
SURVEYDATE:	24-06-2010
PRINTED DATE:	24-06-2010
----------------------------------------------------------------	
CALCULATION METHOD:	Minimum Curvature
DATUM NAME:	Bredford Dolphin
LAT REFERENCE:	Site
----------------------------------------------------------------	
SLOT EW MAP:	440297.10m
SLOT NS MAP:	6459849.30m
SURFACE LATITUDE MAP:	58° 16' 27.524 N
SURFACE LONGITUDE  MAP:	1° 58' 55.873 E
BOTTOM HOLE MD:	2400.00 m
BOTTOM HOLE TVD:	2399.75 m
BOTTOM HOLE EW MAP:	440297.64m
BOTTOM HOLE NS MAP:	6459853.66m
----------------------------------------------------------------	
WATER DEPTH:	80.50 m
KB-MSL:	25.00 m
SYSTEM DATUM:	Mean Sea Level
----------------------------------------------------------------	
MAP-ZONE:	Zone 31N (0 E to 6 E)
NORTH REFERENCE:	Grid
GEO DATUM:	European 1950 - Mean
VSDIR:	0
----------------------------------------------------------------	
SURVEY TYPE INFORMATION
H  107.00 - 149.20 15/9-24; 36" MWD+SC+SAG : MWD+SC+SAG
H  182.90 - 620.69 15/9-24; 26'' MWD+SC+SAG : MWD+SC+SAG
H  638.70 - 1480.40 15/9-24; 17 1/2'' MWD+SC+SAG : MWD+SC+SAG
H  1508.30 - 2387.90 15/9-24; 8 1/2'' MWD+SC+SAG : MWD+SC+SAG
H  2400.00 - 2400.00 15/9-24; EXTRAPOLATION TO TD : BLIND

----------------------------------------------------------------	
SURVEY LIST	
MD         	Inc       	AZI    	TVD(RKB)   	TVDS       	X(m)        	y(m)        	NS          	EW          	DLS              	Vsec        	Lat                	Long
1652.60 	0.53    	355.72    	1652.44   	1627.44   	440300.99   	6459853.12    	3.82        	3.89        	0.05        	3.82      	    58° 16' 27.649 N	     1° 58' 56.108 E	
1706.60 	1.08    	346.51    	1706.43   	1681.43   	440300.85   	6459853.86    	4.56        	3.75        	0.31        	4.56      	    58° 16' 27.673 N	     1° 58' 56.099 E	
1738.90 	1.49    	289.83    	1738.72   	1713.72   	440300.38   	6459854.30    	5.00        	3.28        	1.18        	5.00      	    58° 16' 27.687 N	     1° 58' 56.070 E	
1767.30 	1.06    	251.57    	1767.12   	1742.12   	440299.79   	6459854.34    	5.04        	2.69        	0.98        	5.04      	    58° 16' 27.688 N	     1° 58' 56.034 E	
1795.50 	1.22    	224.51    	1795.31   	1770.31   	440299.33   	6459854.05    	4.75        	2.23        	0.59        	4.75      	    58° 16' 27.678 N	     1° 58' 56.006 E	
1822.30 	1.11    	123.48    	1822.11   	1797.11   	440299.34   	6459853.70    	4.40        	2.24        	2.01        	4.40      	    58° 16' 27.667 N	     1° 58' 56.007 E	
1853.50 	1.08    	77.79     	1853.30   	1828.30   	440299.88   	6459853.60    	4.30        	2.78        	0.82        	4.30      	    58° 16' 27.664 N	     1° 58' 56.040 E	
1882.60 	1.19    	41.96     	1882.40   	1857.40   	440300.35   	6459853.88    	4.58        	3.25        	0.73        	4.58      	    58° 16' 27.673 N	     1° 58' 56.069 E	
1911.80 	1.49    	1.44      	1911.59   	1886.59   	440300.57   	6459854.48    	5.18        	3.47        	1.00        	5.18      	    58° 16' 27.693 N	     1° 58' 56.081 E	
1941.30 	1.23    	319.45    	1941.08   	1916.08   	440300.37   	6459855.11    	5.81        	3.27        	1.02        	5.81      	    58° 16' 27.713 N	     1° 58' 56.069 E	
1969.40 	1.27    	283.87    	1969.18   	1944.18   	440299.87   	6459855.41    	6.11        	2.77        	0.82        	6.11      	    58° 16' 27.723 N	     1° 58' 56.038 E	
1997.90 	0.63    	254.43    	1997.67   	1972.67   	440299.41   	6459855.45    	6.15        	2.31        	0.83        	6.15      	    58° 16' 27.724 N	     1° 58' 56.010 E	
2026.70 	0.57    	268.50    	2026.47   	2001.47   	440299.12   	6459855.40    	6.10        	2.02        	0.17        	6.10      	    58° 16' 27.722 N	     1° 58' 55.992 E	
2056.30 	0.33    	275.22    	2056.07   	2031.07   	440298.89   	6459855.40    	6.10        	1.79        	0.25        	6.10      	    58° 16' 27.722 N	     1° 58' 55.977 E	
2084.90 	0.09    	256.10    	2084.67   	2059.67   	440298.78   	6459855.41    	6.11        	1.68        	0.26        	6.11      	    58° 16' 27.722 N	     1° 58' 55.971 E	
2112.60 	0.33    	234.90    	2112.37   	2087.37   	440298.70   	6459855.35    	6.05        	1.60        	0.27        	6.05      	    58° 16' 27.720 N	     1° 58' 55.966 E	
2141.80 	0.74    	230.73    	2141.57   	2116.57   	440298.48   	6459855.19    	5.89        	1.38        	0.42        	5.89      	    58° 16' 27.715 N	     1° 58' 55.953 E	
2169.80 	0.64    	247.40    	2169.57   	2144.57   	440298.20   	6459855.01    	5.71        	1.10        	0.24        	5.71      	    58° 16' 27.709 N	     1° 58' 55.935 E	
2227.30 	0.84    	225.79    	2227.06   	2202.06   	440297.60   	6459854.60    	5.30        	0.50        	0.18        	5.30      	    58° 16' 27.695 N	     1° 58' 55.899 E	
2255.80 	0.80    	257.94    	2255.56   	2230.56   	440297.25   	6459854.41    	5.11        	0.15        	0.48        	5.11      	    58° 16' 27.689 N	     1° 58' 55.878 E	
2286.00 	0.57    	225.50    	2285.76   	2260.76   	440296.94   	6459854.26    	4.96        	-0.16       	0.44        	4.96      	    58° 16' 27.684 N	     1° 58' 55.859 E	
2310.60 	0.50    	220.50    	2310.36   	2285.36   	440296.78   	6459854.09    	4.79        	-0.32       	0.10        	4.79      	    58° 16' 27.679 N	     1° 58' 55.850 E	
2343.10 	0.96    	135.92    	2342.85   	2317.85   	440296.88   	6459853.79    	4.49        	-0.22       	0.96        	4.49      	    58° 16' 27.669 N	     1° 58' 55.856 E	
2373.00 	0.80    	81.62     	2372.75   	2347.75   	440297.26   	6459853.64    	4.34        	0.16        	0.82        	4.34      	    58° 16' 27.664 N	     1° 58' 55.879 E	
2387.90 	0.80    	87.72     	2387.65   	2362.65   	440297.47   	6459853.66    	4.36        	0.37        	0.17        	4.36      	    58° 16' 27.665 N	     1° 58' 55.892 E	
2400.00 	0.80    	87.72     	2399.75   	2374.75   	440297.64   	6459853.66    	4.36        	0.54        	0.00        	4.36      	    58° 16' 27.665 N	     1° 58' 55.902 E	
