WELLNAME    UWN         UTM NORTH   UTM EAST    MD          TVD         DEVIATION   AZIMUTH     NORTH       EAST        DOGLEG
15/9-9      2623        6467984.08  435038.52   2061.97     2061.61     0.91        311.63      6468005.83  435041.4    0.06
15/9-9      2623        6467984.08  435038.52   2072.03     2071.67     0.91        311.36      6468005.93  435041.28   0.01
15/9-9      2623        6467984.08  435038.52   2082.09     2081.73     0.96        308.08      6468006.04  435041.15   0.22
15/9-9      2623        6467984.08  435038.52   2092.15     2091.79     1.01        304.81      6468006.14  435041.01   0.22
15/9-9      2623        6467984.08  435038.52   2102.2      2101.84     1.06        301.54      6468006.24  435040.86   0.23
15/9-9      2623        6467984.08  435038.52   2112.26     2111.9      1.12        298.69      6468006.34  435040.7    0.24
15/9-9      2623        6467984.08  435038.52   2122.32     2121.96     1.21        297.31      6468006.43  435040.52   0.28
15/9-9      2623        6467984.08  435038.52   2132.38     2132.01     1.3         295.93      6468006.53  435040.32   0.28
15/9-9      2623        6467984.08  435038.52   2142.44     2142.07     1.39        294.55      6468006.63  435040.1    0.29
15/9-9      2623        6467984.08  435038.52   2152.5      2152.13     1.47        293.17      6468006.73  435039.88   0.26
15/9-9      2623        6467984.08  435038.52   2162.56     2162.18     1.56        291.79      6468006.83  435039.63   0.29
15/9-9      2623        6467984.08  435038.52   2172.61     2172.23     1.65        290.41      6468006.94  435039.37   0.29
15/9-9      2623        6467984.08  435038.52   2182.67     2182.29     1.74        289.03      6468007.04  435039.09   0.29
15/9-9      2623        6467984.08  435038.52   2192.73     2192.34     1.83        287.65      6468007.13  435038.79   0.3
15/9-9      2623        6467984.08  435038.52   2202.79     2202.39     1.92        286.27      6468007.23  435038.47   0.3
15/9-9      2623        6467984.08  435038.52   2212.85     2212.45     2.03        285.11      6468007.32  435038.14   0.35
15/9-9      2623        6467984.08  435038.52   2222.91     2222.5      2.34        286.29      6468007.43  435037.77   0.93
15/9-9      2623        6467984.08  435038.52   2232.96     2232.54     2.66        287.46      6468007.56  435037.35   0.97
15/9-9      2623        6467984.08  435038.52   2243.02     2242.59     2.98        288.63      6468007.71  435036.88   0.97
15/9-9      2623        6467984.08  435038.52   2253.08     2252.63     3.3         289.8       6468007.89  435036.36   0.97
15/9-9      2623        6467984.08  435038.52   2263.14     2262.68     3.61        290.97      6468008.1   435035.79   0.95
15/9-9      2623        6467984.08  435038.52   2273.2      2272.71     3.93        292.14      6468008.35  435035.18   0.98
15/9-9      2623        6467984.08  435038.52   2283.26     2282.75     4.25        293.31      6468008.62  435034.52   0.99
15/9-9      2623        6467984.08  435038.52   2293.31     2292.77     4.57        294.48      6468008.94  435033.81   0.99
15/9-9      2623        6467984.08  435038.52   2303.37     2302.8      4.88        295.65      6468009.29  435033.06   0.97
15/9-9      2623        6467984.08  435038.52   2313.43     2312.82     5.2         296.82      6468009.68  435032.27   1
15/9-9      2623        6467984.08  435038.52   2323.49     2322.84     5.09        297.71      6468010.09  435031.47   0.41
15/9-9      2623        6467984.08  435038.52   2333.55     2332.86     4.9         298.56      6468010.5   435030.7    0.61
15/9-9      2623        6467984.08  435038.52   2343.61     2342.88     4.71        299.4       6468010.91  435029.96   0.6
15/9-9      2623        6467984.08  435038.52   2353.66     2352.9      4.53        300.25      6468011.31  435029.26   0.57
15/9-9      2623        6467984.08  435038.52   2363.72     2362.93     4.34        301.1       6468011.71  435028.59   0.6
15/9-9      2623        6467984.08  435038.52   2373.78     2372.96     4.15        301.94      6468012.1   435027.95   0.6
15/9-9      2623        6467984.08  435038.52   2383.84     2383        3.96        302.79      6468012.48  435027.35   0.59
15/9-9      2623        6467984.08  435038.52   2393.9      2393.03     3.78        303.64      6468012.85  435026.78   0.56
