HEADER INFORMATION	
----------------------------------------------------------------	
COMPANY:	Talisman Energy Norway
FIELD:	EXPLORATION-UTM Zone 31
WELL NAME:	15/12-21 (Actual)
WELLBORE NAME:	15/12-21 (Actual)
Drilled From	: Well Ref. Point
KICK OFF DEPTH:	127.72 m
SURVEYNAME:	15/12-21 (Actual)
SURVEYDATE:	20-04-2009
PRINTED DATE:	29-04-2009
----------------------------------------------------------------	
CALCULATION METHOD:	Minimum Curvature
DATUM NAME:	RKB
LAT REFERENCE:	Site
----------------------------------------------------------------	
SLOT EW MAP:	434362.00m
SLOT NS MAP:	6454777.75m
SURFACE LATITUDE MAP:	58° 13' 40.534 N
SURFACE LONGITUDE  MAP:	1° 52' 56.859 E
BOTTOM HOLE MD:	3310.00 m
BOTTOM HOLE TVD:	3309.83 m
BOTTOM HOLE EW MAP:	434380.27m
BOTTOM HOLE NS MAP:	6454789.27m
----------------------------------------------------------------	
WATER DEPTH:	85.60 m
KB-MSL:	42.12 m
SYSTEM DATUM:	Mean Sea Level
----------------------------------------------------------------	
MAP-ZONE:	Zone 31N (0 E to 6 E)
NORTH REFERENCE:	Grid
GEO DATUM:	European 1950 - Mean
VSDIR:	360
----------------------------------------------------------------	
SURVEY TYPE INFORMATION
H  135.20 - 200.10 15/12-21; 36" SDS.MWD+SAG : MWD+SAG+SCC
H  240.10 - 1185.70 15/12-21; 17½" SDS.MWD+SAG : MWD+SAG+SCC
H  1220.80 - 2865.40 15/12-21; 12¼" SDS.MWD+SAG : MWD+SAG+SCC
H  2894.50 - 3289.50 15/12-21; 8½" SDS.MWD+SAG : MWD+SAG+SCC
H  3310.00 - 3310.00 15/12-21; EXTRAPOLATION TO TD : BLIND

----------------------------------------------------------------	
SURVEY LIST	
MD         	Inc       	AZI    	TVD(RKB)   	TVDS       	X(m)        	y(m)        	NS          	EW          	DLS              	Vsec        	Lat                	Long
2606.00 	0.59    	99.02     	2605.86   	2563.74   	434379.39   	6454785.01    	9.11        	17.99       	0.28        	7.26      	    58° 13' 40.778 N	     1° 52' 57.917 E	
2634.80 	0.50    	89.36     	2634.66   	2592.54   	434379.66   	6454784.98    	9.09        	18.26       	0.13        	7.24      	    58° 13' 40.778 N	     1° 52' 57.933 E	
2663.60 	0.62    	74.64     	2663.46   	2621.34   	434379.93   	6454785.03    	9.13        	18.54       	0.19        	7.28      	    58° 13' 40.779 N	     1° 52' 57.950 E	
2692.40 	0.51    	69.38     	2692.26   	2650.14   	434380.20   	6454785.11    	9.22        	18.81       	0.13        	7.37      	    58° 13' 40.782 N	     1° 52' 57.967 E	
2721.30 	0.62    	87.90     	2721.16   	2679.04   	434380.48   	6454785.16    	9.27        	19.09       	0.22        	7.42      	    58° 13' 40.784 N	     1° 52' 57.984 E	
2750.20 	0.39    	78.22     	2750.06   	2707.94   	434380.73   	6454785.19    	9.29        	19.34       	0.25        	7.44      	    58° 13' 40.785 N	     1° 52' 57.999 E	
2779.10 	0.33    	67.94     	2778.96   	2736.84   	434380.91   	6454785.24    	9.34        	19.51       	0.09        	7.49      	    58° 13' 40.787 N	     1° 52' 58.010 E	
2808.00 	0.50    	56.06     	2807.86   	2765.74   	434381.09   	6454785.34    	9.45        	19.69       	0.20        	7.60      	    58° 13' 40.790 N	     1° 52' 58.021 E	
2836.90 	0.31    	61.46     	2836.75   	2794.63   	434381.26   	6454785.45    	9.55        	19.87       	0.20        	7.70      	    58° 13' 40.794 N	     1° 52' 58.031 E	
2865.40 	0.51    	49.79     	2865.25   	2823.13   	434381.43   	6454785.57    	9.67        	20.03       	0.23        	7.82      	    58° 13' 40.798 N	     1° 52' 58.041 E	
