Data from WELLPATH_ORIGINAL_SURVEY_POINTS_1.ASC has been resampled to 0.2 meters and linearly interpolated between original survey points. Computed 2009-06-02

HEADER INFORMATION	
----------------------------------------------------------------	
COMPANY:	Talisman Energy Norway
FIELD:	EXPLORATION-UTM Zone 31
WELL NAME:	15/12-21 (Actual)
WELLBORE NAME:	15/12-21 (Actual)
Drilled From	: Well Ref. Point
KICK OFF DEPTH:	127.72 m
SURVEYNAME:	15/12-21 (Actual)
SURVEYDATE:	20-04-2009
PRINTED DATE:	29-04-2009
----------------------------------------------------------------	
CALCULATION METHOD:	Minimum Curvature
DATUM NAME:	RKB
LAT REFERENCE:	Site
----------------------------------------------------------------	
SLOT EW MAP:	434362.00m
SLOT NS MAP:	6454777.75m
SURFACE LATITUDE MAP:	58° 13' 40.534 N
SURFACE LONGITUDE  MAP:	1° 52' 56.859 E
BOTTOM HOLE MD:	3310.00 m
BOTTOM HOLE TVD:	3309.83 m
BOTTOM HOLE EW MAP:	434380.27m
BOTTOM HOLE NS MAP:	6454789.27m
----------------------------------------------------------------	
WATER DEPTH:	85.60 m
KB-MSL:	42.12 m
SYSTEM DATUM:	Mean Sea Level
----------------------------------------------------------------	
MAP-ZONE:	Zone 31N (0 E to 6 E)
NORTH REFERENCE:	Grid
GEO DATUM:	European 1950 - Mean
VSDIR:	360
----------------------------------------------------------------	
SURVEY TYPE INFORMATION
H  135.20 - 200.10 15/12-21; 36" SDS.MWD+SAG : MWD+SAG+SCC
H  240.10 - 1185.70 15/12-21; 17½" SDS.MWD+SAG : MWD+SAG+SCC
H  1220.80 - 2865.40 15/12-21; 12¼" SDS.MWD+SAG : MWD+SAG+SCC
H  2894.50 - 3289.50 15/12-21; 8½" SDS.MWD+SAG : MWD+SAG+SCC
H  3310.00 - 3310.00 15/12-21; EXTRAPOLATION TO TD : BLIND

----------------------------------------------------------------	
SURVEY LIST	
                  MD                 Inc       	         AZI            TVD(RKB)                TVDS                X(m)                y(m)                  NS                  EW                 DLS                Vsec
              146.60                0.57               44.18              146.51              104.39           434362.12          6454777.87                1.97                0.72                0.33                0.12
              146.80                0.57               44.13              146.70              104.58           434362.12          6454777.87                1.97                0.72                0.29                0.12
              147.00                0.57               44.08              146.90              104.78           434362.12          6454777.87                1.97                0.72                0.25                0.12
              147.20                0.57               44.03              147.10              104.98           434362.12          6454777.87                1.97                0.72                0.21                0.12
              147.40                0.57               43.86              147.30              105.18           434362.12          6454777.87                1.97                0.72                0.21                0.12
              147.60                0.57               43.68              147.50              105.38           434362.12          6454777.87                1.97                0.72                0.21                0.12
              147.80                0.57               43.51              147.70              105.58           434362.12          6454777.87                1.98                0.72                0.21                0.13
              148.00                0.57               43.34              147.90              105.78           434362.12          6454777.88                1.98                0.72                0.22                0.13
              148.20                0.57               43.17              148.11              105.99           434362.13          6454777.88                1.98                0.73                0.22                0.13
              148.40                0.58               42.99              148.31              106.19           434362.13          6454777.88                1.98                0.73                0.22                0.13
              148.60                0.58               42.82              148.51              106.39           434362.13          6454777.88                1.98                0.73                0.22                0.13
              148.80                0.58               42.65              148.71              106.59           434362.13          6454777.88                1.98                0.73                0.22                0.13
              149.00                0.58               42.48              148.91              106.79           434362.13          6454777.88                1.99                0.73                0.22                0.14
              149.20                0.58               42.30              149.11              106.99           434362.13          6454777.89                1.99                0.73                0.22                0.14
              149.40                0.58               42.13              149.31              107.19           434362.13          6454777.89                1.99                0.73                0.22                0.14
              149.60                0.58               41.96              149.51              107.39           434362.13          6454777.89                1.99                0.73                0.23                0.14
              149.80                0.58               41.78              149.72              107.60           434362.14          6454777.89                1.99                0.74                0.23                0.14
              150.00                0.58               41.61              149.92              107.80           434362.14          6454777.89                1.99                0.74                0.23                0.14
              150.20                0.58               41.44              150.12              108.00           434362.14          6454777.89                2.00                0.74                0.23                0.15
              150.40                0.59               41.27              150.32              108.20           434362.14          6454777.90                2.00                0.74                0.23                0.15
              150.60                0.59               41.09              150.52              108.40           434362.14          6454777.90                2.00                0.74                0.23                0.15
              150.80                0.59               40.92              150.72              108.60           434362.14          6454777.90                2.00                0.74                0.23                0.15
              151.00                0.59               40.75              150.92              108.80           434362.14          6454777.90                2.00                0.74                0.24                0.15
              151.20                0.59               40.58              151.12              109.00           434362.14          6454777.90                2.00                0.74                0.24                0.15
              151.40                0.59               40.40              151.33              109.21           434362.15          6454777.90                2.01                0.75                0.24                0.16
              151.60                0.59               40.23              151.53              109.41           434362.15          6454777.91                2.01                0.75                0.24                0.16
              151.80                0.59               40.06              151.73              109.61           434362.15          6454777.91                2.01                0.75                0.24                0.16
              152.00                0.59               39.88              151.93              109.81           434362.15          6454777.91                2.01                0.75                0.24                0.16
              152.20                0.59               39.71              152.13              110.01           434362.15          6454777.91                2.01                0.75                0.24                0.16
              152.40                0.60               39.54              152.33              110.21           434362.15          6454777.91                2.01                0.75                0.25                0.16
              152.60                0.60               39.37              152.53              110.41           434362.15          6454777.91                2.02                0.75                0.25                0.17
              152.80                0.60               39.19              152.73              110.61           434362.15          6454777.91                2.02                0.75                0.25                0.17
              153.00                0.60               39.02              152.94              110.82           434362.16          6454777.92                2.02                0.76                0.25                0.17
              153.20                0.60               38.85              153.14              111.02           434362.16          6454777.92                2.02                0.76                0.25                0.17
              153.40                0.60               38.68              153.34              111.22           434362.16          6454777.92                2.02                0.76                0.25                0.17
              153.60                0.60               38.50              153.54              111.42           434362.16          6454777.92                2.03                0.76                0.25                0.18
              153.80                0.60               38.33              153.74              111.62           434362.16          6454777.92                2.03                0.76                0.25                0.18
              154.00                0.60               38.16              153.94              111.82           434362.16          6454777.92                2.03                0.76                0.26                0.18
              154.20                0.60               37.98              154.14              112.02           434362.16          6454777.93                2.03                0.76                0.26                0.18
              154.40                0.61               37.81              154.34              112.22           434362.16          6454777.93                2.03                0.76                0.26                0.18
              154.60                0.61               37.64              154.55              112.43           434362.17          6454777.93                2.03                0.77                0.26                0.18
              154.80                0.61               37.47              154.75              112.63           434362.17          6454777.93                2.04                0.77                0.26                0.19
              155.00                0.61               37.29              154.95              112.83           434362.17          6454777.93                2.04                0.77                0.26                0.19
              155.20                0.61               37.12              155.15              113.03           434362.17          6454777.93                2.04                0.77                0.26                0.19
              155.40                0.61               36.95              155.35              113.23           434362.17          6454777.94                2.04                0.77                0.27                0.19
              155.60                0.61               36.78              155.55              113.43           434362.17          6454777.94                2.04                0.77                0.27                0.19
              155.80                0.61               36.60              155.75              113.63           434362.17          6454777.94                2.04                0.77                0.27                0.19
              156.00                0.61               36.43              155.95              113.83           434362.17          6454777.94                2.05                0.77                0.27                0.20
              156.20                0.61               36.26              156.16              114.04           434362.18          6454777.94                2.05                0.78                0.27                0.20
              156.40                0.62               36.09              156.36              114.24           434362.18          6454777.94                2.05                0.78                0.27                0.20
              156.60                0.62               35.91              156.56              114.44           434362.18          6454777.95                2.05                0.78                0.27                0.20
              156.80                0.62               35.74              156.76              114.64           434362.18          6454777.95                2.05                0.78                0.28                0.20
              157.00                0.62               35.57              156.96              114.84           434362.18          6454777.95                2.05                0.78                0.28                0.20
              157.20                0.62               35.39              157.16              115.04           434362.18          6454777.95                2.06                0.78                0.28                0.21
              157.40                0.62               35.22              157.36              115.24           434362.18          6454777.95                2.06                0.78                0.28                0.21
              157.60                0.62               35.05              157.56              115.44           434362.18          6454777.95                2.06                0.78                0.28                0.21
              157.80                0.62               34.88              157.77              115.65           434362.19          6454777.96                2.06                0.79                0.28                0.21
              158.00                0.62               34.70              157.97              115.85           434362.19          6454777.96                2.06                0.79                0.28                0.21
              158.20                0.62               34.53              158.17              116.05           434362.19          6454777.96                2.07                0.79                0.28                0.22
              158.40                0.63               34.36              158.37              116.25           434362.19          6454777.96                2.07                0.79                0.29                0.22
              158.60                0.63               34.19              158.57              116.45           434362.19          6454777.96                2.07                0.79                0.29                0.22
              158.80                0.63               34.01              158.77              116.65           434362.19          6454777.96                2.07                0.79                0.29                0.22
              159.00                0.63               33.84              158.97              116.85           434362.19          6454777.96                2.07                0.79                0.29                0.22
              159.20                0.63               33.67              159.17              117.05           434362.19          6454777.97                2.07                0.79                0.29                0.22
              159.40                0.63               33.49              159.38              117.26           434362.20          6454777.97                2.08                0.80                0.29                0.23
              159.60                0.63               33.32              159.58              117.46           434362.20          6454777.97                2.08                0.80                0.29                0.23
              159.80                0.63               33.15              159.78              117.66           434362.20          6454777.97                2.08                0.80                0.30                0.23
              160.00                0.63               32.98              159.98              117.86           434362.20          6454777.97                2.08                0.80                0.30                0.23
              160.20                0.63               32.80              160.18              118.06           434362.20          6454777.97                2.08                0.80                0.30                0.23
              160.40                0.64               32.63              160.38              118.26           434362.20          6454777.98                2.08                0.80                0.30                0.23
              160.60                0.64               32.46              160.58              118.46           434362.20          6454777.98                2.09                0.80                0.30                0.24
              160.80                0.64               32.29              160.78              118.66           434362.20          6454777.98                2.09                0.80                0.30                0.24
              161.00                0.64               32.11              160.99              118.87           434362.21          6454777.98                2.09                0.81                0.30                0.24
              161.20                0.64               31.94              161.19              119.07           434362.21          6454777.98                2.09                0.81                0.31                0.24
              161.40                0.64               31.77              161.39              119.27           434362.21          6454777.98                2.09                0.81                0.31                0.24
              161.60                0.64               31.59              161.59              119.47           434362.21          6454777.99                2.09                0.81                0.31                0.24
              161.80                0.64               31.42              161.79              119.67           434362.21          6454777.99                2.10                0.81                0.31                0.25
              162.00                0.64               31.25              161.99              119.87           434362.21          6454777.99                2.10                0.81                0.31                0.25
              162.20                0.64               31.08              162.19              120.07           434362.21          6454777.99                2.10                0.81                0.31                0.25
              162.40                0.65               30.90              162.39              120.27           434362.21          6454777.99                2.10                0.81                0.31                0.25
              162.60                0.65               30.73              162.60              120.48           434362.22          6454777.99                2.10                0.82                0.31                0.25
              162.80                0.65               30.56              162.80              120.68           434362.22          6454778.00                2.10                0.82                0.32                0.25
              163.00                0.65               30.39              163.00              120.88           434362.22          6454778.00                2.11                0.82                0.32                0.26
              163.20                0.65               30.21              163.20              121.08           434362.22          6454778.00                2.11                0.82                0.32                0.26
              163.40                0.65               30.04              163.40              121.28           434362.22          6454778.00                2.11                0.82                0.32                0.26
              163.60                0.65               30.65              163.60              121.48           434362.22          6454778.00                2.11                0.82                0.33                0.26
              163.80                0.65               31.27              163.80              121.68           434362.22          6454778.00                2.11                0.82                0.35                0.26
              164.00                0.66               31.88              164.00              121.88           434362.23          6454778.00                2.11                0.83                0.36                0.26
              164.20                0.66               32.50              164.20              122.08           434362.23          6454778.01                2.12                0.83                0.37                0.27
              164.40                0.66               33.11              164.40              122.28           434362.23          6454778.01                2.12                0.83                0.38                0.27
              164.60                0.66               33.73              164.60              122.48           434362.23          6454778.01                2.12                0.83                0.40                0.27
              164.80                0.66               34.34              164.80              122.68           434362.23          6454778.01                2.12                0.83                0.41                0.27
              165.00                0.66               34.96              165.00              122.88           434362.24          6454778.01                2.12                0.84                0.42                0.27
              165.20                0.67               35.57              165.20              123.08           434362.24          6454778.01                2.12                0.84                0.44                0.27
              165.40                0.67               36.19              165.40              123.28           434362.24          6454778.02                2.12                0.84                0.45                0.27
              165.60                0.67               36.80              165.60              123.48           434362.24          6454778.02                2.13                0.84                0.46                0.28
              165.80                0.67               37.42              165.80              123.68           434362.24          6454778.02                2.13                0.84                0.47                0.28
              166.00                0.67               38.03              166.00              123.88           434362.24          6454778.02                2.13                0.84                0.49                0.28
              166.20                0.67               38.65              166.20              124.08           434362.25          6454778.02                2.13                0.85                0.50                0.28
              166.40                0.68               39.26              166.40              124.28           434362.25          6454778.02                2.13                0.85                0.51                0.28
              166.60                0.68               39.88              166.60              124.48           434362.25          6454778.03                2.13                0.85                0.53                0.28
              166.80                0.68               40.49              166.80              124.68           434362.25          6454778.03                2.13                0.85                0.54                0.28
              167.00                0.68               41.10              167.00              124.88           434362.25          6454778.03                2.14                0.85                0.55                0.29
              167.20                0.68               41.72              167.20              125.08           434362.26          6454778.03                2.14                0.86                0.56                0.29
              167.40                0.68               42.33              167.40              125.28           434362.26          6454778.03                2.14                0.86                0.58                0.29
              167.60                0.69               42.95              167.60              125.48           434362.26          6454778.03                2.14                0.86                0.59                0.29
              167.80                0.69               43.56              167.80              125.68           434362.26          6454778.03                2.14                0.86                0.60                0.29
              168.00                0.69               44.18              168.00              125.88           434362.26          6454778.04                2.14                0.86                0.61                0.29
              168.20                0.69               44.79              168.20              126.08           434362.27          6454778.04                2.14                0.87                0.63                0.29
