  Well: 15/12-4
   UWI: 6211
 Units: m
    TD: 3140 m
LNGTDE: 1.903225
LATTDE: 58.05254444

     depth   inc      azi

     110       0       0
     336     0.5     208
     514    0.25     289
     543     0.5       9
     641    0.25     295
     746     0.5      29
     862    0.25      26
     968     0.5     189
    1073       1     190
    1179     0.5       0
    1294       1      79
    1399       1      49
    1505       1      60
    1614       1      20
    1722       1      21
    2419       1      34
    2570    0.25     323
    2606     0.5      40
    2674       1      10
    2688       1      19
    2726       1      10
    2785       1      16
    2840       2       0
    3140       2      36


Depth Mode          :  TVD
Depth Unit          :  International meters
Distance Unit       :  meters

UWI: 6211                      
Common: 15/12-4                                                                         
Measr. Depth    TVD Depth     X-Offset     Y-Offset
       626.000      625.991       -1.787       -0.666
       627.000      626.991       -1.789       -0.661
       628.000      627.991       -1.792       -0.655
       629.000      628.991       -1.795       -0.650
       630.000      629.991       -1.798       -0.645
       631.000      630.991       -1.801       -0.639
       632.000      631.991       -1.804       -0.634
       633.000      632.990       -1.807       -0.628
       634.000      633.990       -1.809       -0.623
       635.000      634.990       -1.812       -0.618
       636.000      635.990       -1.815       -0.612
       637.000      636.990       -1.818       -0.607
       638.000      637.990       -1.821       -0.602
       639.000      638.990       -1.824       -0.596
       640.000      639.990       -1.827       -0.591
       641.000      640.990       -1.829       -0.585
       642.000      641.990       -1.831       -0.580
       643.000      642.990       -1.833       -0.574
       644.000      643.990       -1.835       -0.569
       645.000      644.990       -1.837       -0.563
       646.000      645.990       -1.839       -0.558
       647.000      646.990       -1.840       -0.552
       648.000      647.990       -1.842       -0.546
       649.000      648.990       -1.844       -0.541
       650.000      649.990       -1.846       -0.535
       651.000      650.990       -1.848       -0.530
       652.000      651.990       -1.849       -0.524
       653.000      652.990       -1.851       -0.519
       654.000      653.990       -1.853       -0.513
       655.000      654.990       -1.855       -0.508
       656.000      655.990       -1.857       -0.502
       657.000      656.990       -1.858       -0.497
       658.000      657.990       -1.860       -0.491
       659.000      658.990       -1.862       -0.485
       660.000      659.990       -1.864       -0.480
       661.000      660.990       -1.866       -0.474
       662.000      661.990       -1.867       -0.469
       663.000      662.990       -1.869       -0.463
       664.000      663.990       -1.871       -0.458
       665.000      664.990       -1.873       -0.452
       666.000      665.990       -1.875       -0.447
       667.000      666.990       -1.876       -0.441
       668.000      667.990       -1.878       -0.436
       669.000      668.990       -1.880       -0.430
       670.000      669.990       -1.882       -0.424
       671.000      670.990       -1.884       -0.419
       672.000      671.990       -1.885       -0.413
       673.000      672.990       -1.887       -0.408
       674.000      673.990       -1.889       -0.402
       675.000      674.990       -1.891       -0.397
       676.000      675.990       -1.893       -0.391
       677.000      676.990       -1.894       -0.386
       678.000      677.990       -1.896       -0.380
       679.000      678.989       -1.898       -0.374
       680.000      679.989       -1.900       -0.369
       681.000      680.989       -1.902       -0.363
       682.000      681.989       -1.903       -0.358
       683.000      682.989       -1.905       -0.352
       684.000      683.989       -1.907       -0.347
       685.000      684.989       -1.909       -0.341
       686.000      685.989       -1.911       -0.336
       687.000      686.989       -1.912       -0.330
       688.000      687.989       -1.914       -0.325
       689.000      688.989       -1.916       -0.319
       690.000      689.989       -1.918       -0.313
       691.000      690.989       -1.920       -0.308
       692.000      691.989       -1.921       -0.302
       693.000      692.989       -1.923       -0.297
       694.000      693.989       -1.925       -0.291
       695.000      694.989       -1.927       -0.286
       696.000      695.989       -1.929       -0.280
       697.000      696.989       -1.930       -0.275
