Data from WELLPATH_ORIGINAL_SURVEY_POINTS_1.ASC has been resampled to 0.2m and
linearly interpolated between original survey points. Computed 2008-08-22.

HEADER INFORMATION	
----------------------------------------------------------------	
COMPANY:	BG Group
FIELD:	EXPLORATION - UTM Zone 31
WELL NAME:	15/12-19
WELLBORE NAME:	15/12-19
Drilled From:   Well Ref. Point
KICK OFF DEPTH: N/Am 
SURVEYNAME:     Definitive
SURVEYDATE:     2008-04-21
----------------------------------------------------------------	
CALCULATION METHOD: Minimum Curvature
DATUM NAME:         RKB@42.52
LAT REFERENCE:      Site
----------------------------------------------------------------	
SLOT EW MAP: 436239.01m
SLOT NS MAP: 6429787.29m
SURFACE LATITUDE MAP:   58°00'13.643N
SURFACE LONGITUDE  MAP: 001°55'16.368E
BOTTOM HOLE MD:  3212.00m 
BOTTOM HOLE TVD: 3211.35m 
BOTTOM HOLE EW MAP: 436244.60m
BOTTOM HOLE NS MAP: 6429796.98m
----------------------------------------------------------------	
WATER DEPTH:  85.00m 
KB-MSL:       42.52m 
SYSTEM DATUM: Mean Sea Level
----------------------------------------------------------------	
MAP-ZONE: UTM Zone 31, North 0 to 6E
NORTH REFERENCE: Grid
GEO DATUM: ED50 (International 1924)
VSDIR: 0
----------------------------------------------------------------	
SURVEY TYPE INFORMATION
235.80    - 654.00    15_12-19; 24'' MWD+SAG+SCC : MWD+SAG+SCC
668.60    - 1336.10   15_12-19; 17½" MWD+SAG+SCC : MWD+SAG+SCC
1364.00   - 2888.80   15_12-19; 12¼" MWD+SAG+SCC : MWD+SAG+SCC
2928.10   - 3188.60   15_12-19;  8½" MWD+SAG+SCC : MWD+SAG+SCC
3212.00   - 3212.00   15_12-19; Projection to TD : BLIND

----------------------------------------------------------------	
SURVEY LIST	
MD           Inc          AZI          TVD(RKB)     TVDS         X(m)         y(m)         NS           EW           DLS          Vsec
151.60       0.19         119.02       151.55       109.03       436238.93    6429787.37   0.07         -0.08        0.09         0.07
151.80       0.20         120.03       151.75       109.23       436238.93    6429787.37   0.07         -0.08        0.10         0.07
152.00       0.20         121.03       151.95       109.43       436238.93    6429787.37   0.07         -0.08        0.10         0.07
152.20       0.20         122.04       152.15       109.63       436238.93    6429787.37   0.07         -0.08        0.10         0.07
152.40       0.20         123.05       152.35       109.83       436238.93    6429787.37   0.07         -0.08        0.10         0.07
152.60       0.20         124.06       152.55       110.03       436238.93    6429787.37   0.08         -0.08        0.10         0.08
152.80       0.20         125.07       152.75       110.23       436238.93    6429787.37   0.08         -0.08        0.10         0.08
153.00       0.20         126.08       152.95       110.43       436238.93    6429787.37   0.08         -0.08        0.10         0.08
153.20       0.21         127.09       153.15       110.63       436238.93    6429787.37   0.08         -0.08        0.10         0.08
153.40       0.21         128.09       153.35       110.83       436238.93    6429787.37   0.08         -0.08        0.10         0.08
153.60       0.21         129.10       153.55       111.03       436238.93    6429787.37   0.08         -0.08        0.10         0.08
153.80       0.21         130.11       153.75       111.23       436238.93    6429787.37   0.08         -0.08        0.10         0.08
154.00       0.21         131.12       153.95       111.43       436238.93    6429787.37   0.08         -0.08        0.10         0.08
154.20       0.21         132.13       154.15       111.63       436238.93    6429787.37   0.08         -0.08        0.11         0.08
154.40       0.22         133.14       154.35       111.83       436238.93    6429787.37   0.08         -0.08        0.11         0.08
154.60       0.22         134.15       154.55       112.03       436238.92    6429787.38   0.08         -0.09        0.11         0.08
154.80       0.22         135.15       154.75       112.23       436238.92    6429787.38   0.08         -0.09        0.11         0.08
155.00       0.22         136.16       154.95       112.43       436238.92    6429787.38   0.08         -0.09        0.11         0.08
155.20       0.22         137.17       155.16       112.64       436238.92    6429787.38   0.08         -0.09        0.11         0.08
155.40       0.22         138.18       155.36       112.84       436238.92    6429787.38   0.08         -0.09        0.11         0.08
155.60       0.23         139.19       155.56       113.04       436238.92    6429787.38   0.08         -0.09        0.11         0.08
155.80       0.23         140.20       155.76       113.24       436238.92    6429787.38   0.08         -0.09        0.11         0.08
156.00       0.23         141.21       155.96       113.44       436238.92    6429787.38   0.09         -0.09        0.11         0.09
156.20       0.23         142.22       156.16       113.64       436238.92    6429787.38   0.09         -0.09        0.11         0.09
156.40       0.23         143.22       156.36       113.84       436238.92    6429787.38   0.09         -0.09        0.11         0.09
156.60       0.23         144.23       156.56       114.04       436238.92    6429787.38   0.09         -0.09        0.11         0.09
156.80       0.24         145.24       156.76       114.24       436238.92    6429787.38   0.09         -0.09        0.12         0.09
157.00       0.24         146.25       156.96       114.44       436238.92    6429787.38   0.09         -0.09        0.12         0.09
157.20       0.24         147.26       157.16       114.64       436238.92    6429787.38   0.09         -0.09        0.12         0.09
157.40       0.24         148.27       157.36       114.84       436238.92    6429787.38   0.09         -0.09        0.12         0.09
157.60       0.24         149.28       157.56       115.04       436238.91    6429787.39   0.09         -0.10        0.12         0.09
157.80       0.24         150.28       157.76       115.24       436238.91    6429787.39   0.09         -0.10        0.12         0.09
158.00       0.25         151.29       157.96       115.44       436238.91    6429787.39   0.09         -0.10        0.12         0.09
158.20       0.25         152.30       158.16       115.64       436238.91    6429787.39   0.09         -0.10        0.12         0.09
158.40       0.25         153.31       158.36       115.84       436238.91    6429787.39   0.09         -0.10        0.12         0.09
158.60       0.25         154.32       158.56       116.04       436238.91    6429787.39   0.09         -0.10        0.12         0.09
158.80       0.25         155.33       158.76       116.24       436238.91    6429787.39   0.09         -0.10        0.12         0.09
159.00       0.25         156.34       158.96       116.44       436238.91    6429787.39   0.09         -0.10        0.12         0.09
159.20       0.26         157.34       159.16       116.64       436238.91    6429787.39   0.10         -0.10        0.13         0.10
159.40       0.26         158.35       159.36       116.84       436238.91    6429787.39   0.10         -0.10        0.13         0.10
159.60       0.26         159.36       159.56       117.04       436238.91    6429787.39   0.10         -0.10        0.13         0.10
159.80       0.26         160.37       159.76       117.24       436238.91    6429787.39   0.10         -0.10        0.13         0.10
160.00       0.26         161.38       159.96       117.44       436238.91    6429787.39   0.10         -0.10        0.13         0.10
160.20       0.26         162.39       160.16       117.64       436238.91    6429787.39   0.10         -0.10        0.13         0.10
160.40       0.27         163.40       160.36       117.84       436238.91    6429787.39   0.10         -0.10        0.13         0.10
160.60       0.27         164.40       160.56       118.04       436238.91    6429787.39   0.10         -0.10        0.13         0.10
160.80       0.27         165.41       160.76       118.24       436238.90    6429787.40   0.10         -0.11        0.13         0.10
161.00       0.27         166.42       160.96       118.44       436238.90    6429787.40   0.10         -0.11        0.13         0.10
161.20       0.27         167.43       161.16       118.64       436238.90    6429787.40   0.10         -0.11        0.13         0.10
161.40       0.27         168.44       161.36       118.84       436238.90    6429787.40   0.10         -0.11        0.13         0.10
161.60       0.28         169.45       161.56       119.04       436238.90    6429787.40   0.10         -0.11        0.14         0.10
161.80       0.28         170.46       161.76       119.24       436238.90    6429787.40   0.10         -0.11        0.14         0.10
162.00       0.28         171.47       161.96       119.44       436238.90    6429787.40   0.10         -0.11        0.14         0.10
162.20       0.28         172.47       162.16       119.64       436238.90    6429787.40   0.10         -0.11        0.14         0.10
162.40       0.28         173.48       162.36       119.84       436238.90    6429787.40   0.11         -0.11        0.14         0.11
162.60       0.28         174.49       162.56       120.04       436238.90    6429787.40   0.11         -0.11        0.14         0.11
162.80       0.29         175.50       162.76       120.24       436238.90    6429787.40   0.11         -0.11        0.14         0.11
163.00       0.29         176.51       162.97       120.45       436238.90    6429787.40   0.11         -0.11        0.14         0.11
163.20       0.29         177.52       163.17       120.65       436238.90    6429787.40   0.11         -0.11        0.14         0.11
163.40       0.29         178.53       163.37       120.85       436238.90    6429787.40   0.11         -0.11        0.14         0.11
163.60       0.29         179.53       163.57       121.05       436238.90    6429787.40   0.11         -0.11        0.14         0.11
163.80       0.29         180.54       163.77       121.25       436238.89    6429787.41   0.11         -0.12        0.14         0.11
164.00       0.30         181.55       163.97       121.45       436238.89    6429787.41   0.11         -0.12        0.14         0.11
164.20       0.30         182.56       164.17       121.65       436238.89    6429787.41   0.11         -0.12        0.15         0.11
164.40       0.30         183.57       164.37       121.85       436238.89    6429787.41   0.11         -0.12        0.15         0.11
164.60       0.30         184.58       164.57       122.05       436238.89    6429787.41   0.11         -0.12        0.15         0.11
164.80       0.30         185.59       164.77       122.25       436238.89    6429787.41   0.11         -0.12        0.15         0.11
165.00       0.30         186.59       164.97       122.45       436238.89    6429787.41   0.11         -0.12        0.15         0.11
165.20       0.31         187.60       165.17       122.65       436238.89    6429787.41   0.11         -0.12        0.15         0.11
165.40       0.31         188.61       165.37       122.85       436238.89    6429787.41   0.11         -0.12        0.15         0.11
165.60       0.31         189.62       165.57       123.05       436238.89    6429787.41   0.11         -0.12        0.15         0.11
165.80       0.31         190.63       165.77       123.25       436238.89    6429787.41   0.12         -0.12        0.15         0.12
166.00       0.31         191.64       165.97       123.45       436238.89    6429787.41   0.12         -0.12        0.15         0.12
166.20       0.31         192.65       166.17       123.65       436238.89    6429787.41   0.12         -0.12        0.15         0.12
166.40       0.31         193.65       166.37       123.85       436238.89    6429787.41   0.12         -0.12        0.15         0.12
166.60       0.32         194.66       166.57       124.05       436238.89    6429787.41   0.12         -0.12        0.16         0.12
166.80       0.32         195.67       166.77       124.25       436238.89    6429787.41   0.12         -0.12        0.16         0.12
167.00       0.32         196.68       166.97       124.45       436238.88    6429787.42   0.12         -0.13        0.16         0.12
167.20       0.32         197.69       167.17       124.65       436238.88    6429787.42   0.12         -0.13        0.16         0.12
167.40       0.32         198.70       167.37       124.85       436238.88    6429787.42   0.12         -0.13        0.16         0.12
