HEADER INFORMATION	
----------------------------------------------------------------	
COMPANY:	BG Group
FIELD:	EXPLORATION - UTM Zone 31
WELL NAME:	15/12-19
WELLBORE NAME:	15/12-19
Drilled From	: Well Ref. Point
KICK OFF DEPTH:	N/Am 
SURVEYNAME:	Definitive
SURVEYDATE:	2008-04-21
PRINTED DATE:	2008-04-22
----------------------------------------------------------------	
CALCULATION METHOD:	Minimum Curvature
DATUM NAME:	RKB@42.52
LAT REFERENCE:	Site
----------------------------------------------------------------	
SLOT EW MAP:	436239.01m
SLOT NS MAP:	6429787.29m
SURFACE LATITUDE MAP:	58°00'13.643N
SURFACE LONGITUDE  MAP:	001°55'16.368E
BOTTOM HOLE MD:	3212.00m 
BOTTOM HOLE TVD:	3211.35m 
BOTTOM HOLE EW MAP:	436244.60m
BOTTOM HOLE NS MAP:	6429796.98m
----------------------------------------------------------------	
WATER DEPTH:	85.00m 
KB-MSL:	42.52m 
SYSTEM DATUM:	Mean Sea Level
----------------------------------------------------------------	
MAP-ZONE:	UTM Zone 31, North 0 to 6E
NORTH REFERENCE:	Grid
GEO DATUM:	ED50 (International 1924)
VSDIR:	0
----------------------------------------------------------------	
SURVEY TYPE INFORMATION
235.80    - 654.00    15_12-19; 24'' MWD+SAG+SCC : MWD+SAG+SCC
668.60    - 1336.10   15_12-19; 17½" MWD+SAG+SCC : MWD+SAG+SCC
1364.00   - 2888.80   15_12-19; 12¼" MWD+SAG+SCC : MWD+SAG+SCC
2928.10   - 3188.60   15_12-19; 8½" MWD+SAG+SCC : MWD+SAG+SCC
3212.00   - 3212.00   15_12-19; Projection to TD : BLIND

----------------------------------------------------------------	
SURVEY LIST	
MD          Inc        AZI         	TVD(RKB)   	TVDS     	X(m)        	y(m)        	NS          	EW     		DLS               Vsec        Lat              	Long
2636.80 	0.69    	44.78     	2636.22   	2593.70   	436236.40   	6429794.83    	7.54        	-2.61       	0.21        	7.54      	58°00'13.885N	001°55'16.202E	
2665.80 	0.44    	46.10     	2665.22   	2622.70   	436236.60   	6429795.03    	7.74        	-2.41       	0.26        	7.74      	58°00'13.892N	001°55'16.214E	
2695.20 	0.67    	71.91     	2694.62   	2652.10   	436236.84   	6429795.16    	7.87        	-2.16       	0.34        	7.87      	58°00'13.896N	001°55'16.229E	
2723.90 	0.53    	79.14     	2723.32   	2680.80   	436237.13   	6429795.24    	7.95        	-1.87       	0.17        	7.95      	58°00'13.899N	001°55'16.247E	
2752.80 	0.84    	73.77     	2752.22   	2709.70   	436237.47   	6429795.33    	8.03        	-1.54       	0.33        	8.03      	58°00'13.901N	001°55'16.267E	
2781.80 	0.61    	82.43     	2781.21   	2738.69   	436237.83   	6429795.41    	8.11        	-1.18       	0.26        	8.11      	58°00'13.904N	001°55'16.289E	
2811.00 	0.87    	82.56     	2810.41   	2767.89   	436238.20   	6429795.46    	8.16        	-0.81       	0.27        	8.16      	58°00'13.906N	001°55'16.311E	
2839.50 	0.75    	88.91     	2838.91   	2796.39   	436238.60   	6429795.49    	8.20        	-0.41       	0.16        	8.20      	58°00'13.907N	001°55'16.336E	
2868.50 	0.83    	89.41     	2867.91   	2825.39   	436239.00   	6429795.49    	8.20        	-0.01       	0.08        	8.20      	58°00'13.908N	001°55'16.360E	
2888.80 	0.87    	83.86     	2888.20   	2845.68   	436239.30   	6429795.51    	8.22        	0.29        	0.14        	8.22      	58°00'13.908N	001°55'16.378E	
2928.10 	1.05    	85.46     	2927.50   	2884.98   	436239.96   	6429795.57    	8.28        	0.95        	0.14        	8.28      	58°00'13.911N	001°55'16.418E	
2956.70 	0.66    	82.79     	2956.09   	2913.57   	436240.38   	6429795.61    	8.32        	1.37        	0.41        	8.32      	58°00'13.912N	001°55'16.444E	
2966.20 	0.62    	95.34     	2965.59   	2923.07   	436240.49   	6429795.61    	8.32        	1.48        	0.46        	8.32      	58°00'13.912N	001°55'16.450E	
2994.70 	0.70    	86.70     	2994.09   	2951.57   	436240.81   	6429795.61    	8.32        	1.81        	0.13        	8.32      	58°00'13.912N	001°55'16.470E	
3024.20 	0.75    	76.94     	3023.59   	2981.07   	436241.18   	6429795.66    	8.37        	2.17        	0.14        	8.37      	58°00'13.914N	001°55'16.493E	
3052.90 	0.92    	70.58     	3052.29   	3009.77   	436241.58   	6429795.78    	8.49        	2.57        	0.20        	8.49      	58°00'13.918N	001°55'16.517E	
3081.90 	1.02    	70.58     	3081.28   	3038.76   	436242.04   	6429795.95    	8.66        	3.04        	0.10        	8.66      	58°00'13.924N	001°55'16.545E	
3110.70 	1.06    	73.03     	3110.08   	3067.56   	436242.54   	6429796.11    	8.82        	3.53        	0.06        	8.82      	58°00'13.929N	001°55'16.575E	
3140.20 	1.06    	72.26     	3139.57   	3097.05   	436243.06   	6429796.27    	8.98        	4.06        	0.01        	8.98      	58°00'13.935N	001°55'16.607E	
3169.00 	1.38    	62.90     	3168.37   	3125.85   	436243.62   	6429796.51    	9.22        	4.62        	0.39        	9.22      	58°00'13.943N	001°55'16.641E	
3188.60 	1.47    	64.93     	3187.96   	3145.44   	436244.06   	6429796.72    	9.43        	5.06        	0.16        	9.43      	58°00'13.950N	001°55'16.667E	
3212.00 	1.47    	64.93     	3211.35   	3168.83   	436244.60   	6429796.98    	9.69        	5.60        	0.00        	9.69      	58°00'13.959N	001°55'16.700E	
