Data from WELLPATH_ORIGINAL_SURVEY_POINTS_1.ASC has been resampled to 0.2 
meters and linearly interpolated between original survey points. Computed 
2011-08-31

HEADER INFORMATION 
----------------------------------------------------------------
COMPANY: STATOIL NORWAY
FIELD:  EXPLORATION - UTM Zone 31
WELL NAME: 15/6-12
WELLBORE NAME: 15/6-12 McHenry
Drilled From: Surface
Kick Off Depth: 0.00m
Survey Name: 15/6-12 McHenry
Survey Date: 16.02.2011
Extraction Date: 12.08.2011
----------------------------------------------------------------
Calculation Method: Minimum Curvature
Datum Name: WELL
LAT Reference: Site
----------------------------------------------------------------
Slot EW Map: 426697.000m
Slot NS Map: 6499708.000m
Surface Latitude Map: 58° 37' 48.515 N
Surface Longitude Map: 1° 44' 15.483 E
Bottom Hole MD: 3930.00m
Bottom Hole TVD: 3929.65m
Bottom Hole EW Map: 426694.704m
Bottom Hole NS Map: 6499691.286m
----------------------------------------------------------------
Water Depth: 115.50m
KB-WH: 23.50m
KB-MSL: 23.50m
System Datum: Mean Sea Level
----------------------------------------------------------------
Map-Zone: Zone 31N (0 E to 6 E)
North Reference: Grid
Geo Datum: European 1950 - Mean
VSDIR: 360
----------------------------------------------------------------
SURVEY LIST
MD             Inc            Azim           TVD            X-Offset (E/W) Y-Offset (N/S) UTM E/W        UTM N/S        DLS
m RKB          deg            deg            m RKB          m              m              m              m              deg/30m
29.20          0.00           75.63          29.20          0.000          0.000          426697.000     6499708.000    0.00
29.40          0.00           76.14          29.40          0.000          0.000          426697.000     6499708.000    0.00
29.60          0.00           76.66          29.60          0.000          0.000          426697.000     6499708.000    0.00
29.80          0.00           77.18          29.80          0.000          0.000          426697.000     6499708.000    0.00
30.00          0.00           77.70          30.00          0.000          0.000          426697.000     6499708.000    0.00
30.20          0.00           78.22          30.20          0.000          0.000          426697.000     6499708.000    0.00
30.40          0.00           78.73          30.40          0.000          0.000          426697.000     6499708.000    0.00
30.60          0.00           79.25          30.60          0.000          0.000          426697.000     6499708.000    0.00
30.80          0.00           79.77          30.80          0.000          0.000          426697.000     6499708.000    0.00
31.00          0.00           80.29          31.00          0.000          0.000          426697.000     6499708.000    0.00
31.20          0.00           80.81          31.20          0.000          0.000          426697.000     6499708.000    0.00
31.40          0.00           81.32          31.40          0.000          0.000          426697.000     6499708.000    0.00
31.60          0.00           81.84          31.60          0.000          0.000          426697.000     6499708.000    0.00
31.80          0.00           82.36          31.80          0.000          0.000          426697.000     6499708.000    0.00
32.00          0.00           82.88          32.00          0.000          0.000          426697.000     6499708.000    0.00
32.20          0.00           83.40          32.20          0.000          0.000          426697.000     6499708.000    0.00
32.40          0.00           83.91          32.40          0.000          0.000          426697.000     6499708.000    0.00
32.60          0.00           84.43          32.60          0.000          0.000          426697.000     6499708.000    0.00
32.80          0.00           84.95          32.80          0.000          0.000          426697.000     6499708.000    0.00
33.00          0.00           85.47          33.00          0.000          0.000          426697.000     6499708.000    0.00
33.20          0.00           85.99          33.20          0.000          0.000          426697.000     6499708.000    0.00
33.40          0.00           86.50          33.40          0.000          0.000          426697.000     6499708.000    0.00
33.60          0.00           87.02          33.60          0.000          0.000          426697.000     6499708.000    0.00
33.80          0.00           87.54          33.80          0.000          0.000          426697.000     6499708.000    0.00
34.00          0.00           88.06          34.00          0.000          0.000          426697.000     6499708.000    0.00
34.20          0.00           88.58          34.20          0.000          0.000          426697.000     6499708.000    0.00
34.40          0.00           89.09          34.40          0.000          0.000          426697.000     6499708.000    0.00
34.60          0.00           89.61          34.60          0.000          0.000          426697.000     6499708.000    0.00
34.80          0.00           90.13          34.80          0.000          0.000          426697.000     6499708.000    0.00
35.00          0.00           90.65          35.00          0.000          0.000          426697.000     6499708.000    0.00
35.20          0.00           91.17          35.20          0.000          0.000          426697.000     6499708.000    0.00
35.40          0.00           91.68          35.40          0.000          0.000          426697.000     6499708.000    0.00
35.60          0.00           92.20          35.60          0.000          0.000          426697.000     6499708.000    0.00
35.80          0.00           92.72          35.80          0.000          0.000          426697.000     6499708.000    0.00
36.00          0.00           93.24          36.00          0.000          0.000          426697.000     6499708.000    0.00
36.20          0.00           93.76          36.20          0.000          0.000          426697.000     6499708.000    0.00
36.40          0.00           94.27          36.40          0.000          0.000          426697.000     6499708.000    0.00
36.60          0.00           94.79          36.60          0.000          0.000          426697.000     6499708.000    0.00
36.80          0.00           95.31          36.80          0.000          0.000          426697.000     6499708.000    0.00
37.00          0.00           95.83          37.00          0.000          0.000          426697.000     6499708.000    0.00
37.20          0.00           96.35          37.20          0.000          0.000          426697.000     6499708.000    0.00
37.40          0.00           96.86          37.40          0.000          0.000          426697.000     6499708.000    0.00
37.60          0.00           97.38          37.60          0.000          0.000          426697.000     6499708.000    0.00
37.80          0.00           97.90          37.80          0.000          0.000          426697.000     6499708.000    0.00
38.00          0.00           98.42          38.00          0.000          0.000          426697.000     6499708.000    0.00
38.20          0.00           98.94          38.20          0.000          0.000          426697.000     6499708.000    0.00
38.40          0.00           99.45          38.40          0.000          0.000          426697.000     6499708.000    0.00
38.60          0.00           99.97          38.60          0.000          0.000          426697.000     6499708.000    0.00
38.80          0.00           100.49         38.80          0.000          0.000          426697.000     6499708.000    0.00
39.00          0.00           101.01         39.00          0.000          0.000          426697.000     6499708.000    0.00
39.20          0.00           101.53         39.20          0.000          0.000          426697.000     6499708.000    0.00
39.40          0.00           102.04         39.40          0.000          0.000          426697.000     6499708.000    0.00
39.60          0.00           102.56         39.60          0.000          0.000          426697.000     6499708.000    0.00
39.80          0.00           103.08         39.80          0.000          0.000          426697.000     6499708.000    0.00
40.00          0.00           103.60         40.00          0.000          0.000          426697.000     6499708.000    0.00
40.20          0.00           104.12         40.20          0.000          0.000          426697.000     6499708.000    0.00
40.40          0.00           104.63         40.40          0.000          0.000          426697.000     6499708.000    0.00
40.60          0.00           105.15         40.60          0.000          0.000          426697.000     6499708.000    0.00
40.80          0.00           105.67         40.80          0.000          0.000          426697.000     6499708.000    0.00
41.00          0.00           106.19         41.00          0.000          0.000          426697.000     6499708.000    0.00
41.20          0.00           106.71         41.20          0.000          0.000          426697.000     6499708.000    0.00
41.40          0.00           107.22         41.40          0.000          0.000          426697.000     6499708.000    0.00
41.60          0.00           107.74         41.60          0.000          0.000          426697.000     6499708.000    0.00
41.80          0.00           108.26         41.80          0.000          0.000          426697.000     6499708.000    0.00
